Entidad;Sigla;Fecha de Ingreso;Pertenece al CD 2024;IGJ;AFIP;Estatuto;Nómina Actualizada;Fecha de vencimiento - NÓMINA;Presidente;Fecha de vencimiento - PRESIDENTE;CUIT;Estado del CUIT;Solicitud de ingreso;Fecha de solicitud;Provincia;Localidad;Dirección
Asociación Amigos de la Calle San Martín;;30/4/2009;NO;NO;SI;SI;Vencida;30/12/2019;Adriana De Pedro;30/12/2023;30635505318;OK;SI;20/04/2009;Santa Fe;Santa Fe; SAN MARTIN 2347 Ofic.4 y 5 (CP 3000) SANTA FE, Santa Fe  
Asociación Amigos del Paseo Rivadavia y Adyacencias;;11/9/1996;NO;NO;NO;NO;SIN NOMINA;SIN NOMINA;SIN NOMINA;0/1/1900;30679395161;OK;SI;11/09/1996;Buenos Aires;Quilmes; San Martin 592 7 (CP 1878) QUILMES, Buenos Aires  
Asociación Apícola Misionera;;12/8/2015;NO;SI;SI;NO;Vencida;31/12/2019;Luis Alberto Krutli;31/12/2019;30711578826;OK;SI;05/08/2015;Misiones;Colonia 25 De Mayo; LUIS FRANK S/N (CP 3363) COLONIA 25 DE MAYO, Misiones  
Asociación Argentina de Criadores de Búfalos;AACB;5/11/2009;NO;NO;SI;NO;Vencida;30/11/2023;Marcelo Eugenio Breard;30/11/2023;33707430929;OK;SI;30/10/2009;CABA;; San Martín 1033 PB (CP 1004) Ciudad Autónoma de Buenos Aires  
Asociación Argentina de Ecoturismo y Turismo Aventura;AAETAV;8/3/2012;NO;SI;SI;SI;Vencida;7/10/2021;Diego Noia;30/12/2022;30710662270;OK;SI;01/03/2012;CABA;; VIAMONTE 640 10 (CP 1053) Ciudad Autónoma de Buenos Aires  
Asociación Argentina de Empresarios del Transporte Automotor;AAETA;1/7/2005;NO;NO;SI;NO;Vigente;29/6/2026;Luciano Franco Fusaro;29/6/2026;30546346338;OK;SI;-;CABA;; BERNARDO IRIGOYEN 330 Piso 6 Of. 133 (CP 1072) Ciudad Autónoma de Buenos Aires  
Asociación Argentina de Galvanizado por Inmersión en Caliente;AAGIC;4/7/2013;NO;SI;SI;SI;Vencida;31/10/2023;Aberl Jorge Arauz;31/10/2023;30714081000;OK;SI;18/10/2012;Buenos Aires;Olivos; Debenedetti 3895 (CP ) OLIVOS, Buenos Aires  
Asociación Argentina de Marcas y Franquicias;AAMF;10/8/2004;Si;SI;SI;SI;Vigente;22/6/2025;Susana Perrotta;22/6/2025;33643169989;OK;SI;10/08/2004;CABA;; AV. LIBERTADOR 184 PISO 11Â° DTO. D (CP 1001) Ciudad Autónoma de Buenos Aires  
Asociación Argentina de Marketing;AAM;9/9/2015;NO;SI;SI;SI;Vigente;30/6/2025;Oscar Albores;30/6/2025;30515630356;OK;SI;26/08/2015;CABA;; VIAMONTE 723 7 27 (CP 1053) Ciudad Autónoma de Buenos Aires  
Asociación Argentina de Productores Algodoneros;;16/7/2020;Si;SI;SI;SI;Vigente;30/6/2025;Héctor Fabián Linke;31/12/2025;30716674076;OK;NO;-;Chaco;Coronel Du Graty; Corrientes 161 (CP 3541) CORONEL DU GRATY, Chaco  
Asociación Argentina de Publicidad;AAP;16/1/2019;NO;SI;SI;SI;Vencida;31/12/2020;Germán Yunes;31/12/2020;30526851907;OK;SI;09/01/2019;CABA;; 25 DE MAYO 460 P.B (CP 1002) Ciudad Autónoma de Buenos Aires  
Asociación Argentina de Publicidad Exterior;APE;27/11/2019;NO;NO;SI;NO;Vigente;31/12/2023;Jorge Brizuela;25/4/2026;30561331215;OK;NO;-;CABA;; CASTRO BARROS 44 PB 1 (CP 1178) Ciudad Autónoma de Buenos Aires  
Asociación Cámara Empresarial Pymes de la Provincia de San Luis;CEPPSL;29/3/2012;NO;SI;NO;SI;Vencida;30/10/2020;Aníbal Fernando Fernández Janeiro;30/10/2020;30709367486;CONSTANCIA BLOQUEADA;SI;15/02/2012;San Luis;San Luis; Barrio 140 mza 387 casa 22 (CP 5700) SAN LUIS, San Luis  
Asociación Centros de Idiomas;SEA;17/5/2013;NO;SI;NO;SI;Vencida;31/12/2023;Marcelo Andres Garcia;31/12/2023;30676189854;CONSTANCIA BLOQUEADA;SI;17/05/2013;CABA;; VIAMONTE 371 (CP 1053) Ciudad Autónoma de Buenos Aires  
Asociación Cinematográfica de Exhibidores Independientes;;3/11/2016;NO;SI;SI;SI;Vencida;31/12/2016;Walter Eduardo Geringer;31/12/2016;30676595798;OK;SI;21/09/2016;CABA;; AYACUCHO 457 1 13 (CP 1026) Ciudad Autónoma de Buenos Aires  
Asociación Civil Cámara de Mujeres Empresarias y Emprendedoras de Mendoza;ACMEM;8/9/2016;Si;SI;SI;SI;Vigente;29/9/2027;Marcela Fernanda Reina;20/9/2027;3009170002;CUIT ERRONEO;;;Mendoza;; Barrio Kobe, Calle Cerro Colorado 1547 (CP 5513) LUZURIAGA, Mendoza  Presidente: Fernanda Reina   STORNI ALFONSINA 193 (CP ) Mendoza  GUAYMALLEN  
Asociación Civil Cámara de Productores Agrícolas de San Juan;CPA;3/12/2009;NO;NO;SI;NO;Vencida;29/10/2022;Sergio Mena;29/10/2022;30711513597;OK;SI;03/12/2009;San Juan;; Aberastain E/Calle 12 y Furque (CP ) San Juan  
Asociación Civil Cámara de Pymes de la Provincia de San Luis;;8/10/2008;NO;NO;NO;NO;Vencida;30/3/2019;Jorge Andrés Quevedo;30/3/2019;30709176729;BAJA DE OFICIO;SI;07/10/2008;San Luis;Villa Mercedes; Doctor Mestre 293 (CP 5730) VILLA MERCEDES, San Luis  
Asociación Civil Centro Comercial e Industrial de la Ciudad de Laguna Paiva;CCILP;24/10/2008;NO;SI;SI;SI;Vigente;28/9/2025;Guillermo Ayala;27/10/2024;30681998507;OK;SI;02/10/2008;Santa Fe;Laguna Paiva; AVENIDA SAN MARTIN 1276 (CP 3020) LAGUNA PAIVA, Santa Fe  
Asociación Civil Centro Comercial y de la Producción San Javier;ACCCPSJ;23/4/2009;NO;NO;SI;NO;Vencida;3/11/2023;Adrián César Schuck;3/11/2023;30708173548;OK;SI;06/04/2009;Santa Fe;San Javier; ALVEAR 2077 (CP 3005) SAN JAVIER, Santa Fe  
Asociación Civil de Fabricantes y Representantes de Máquinas, Equipos y Herramientas para la Industria Maderera;ASORA;20/4/2016;NO;SI;SI;SI;Vigente;31/12/2023;Osvaldo Kovalchuk;27/11/2025;33661792189;OK;SI;15/03/2016;CABA;; BERNARDO DE IRIGOYEN 972 3 B (CP 1072) Ciudad Autónoma de Buenos Aires  
Asociación Civil de Tecnología del Caucho;SLTC;18/12/2014;NO;SI;SI;SI;Vencida;30/12/2023;María Alexandra Piña;30/12/2023;30711150265;CONSTANCIA BLOQUEADA;SI;21/11/2014;CABA;; MATANZA 288 (CP ) Ciudad Autónoma de Buenos Aires  
Asociación Civil Movimiento Argentino para la Producción Orgánica;MAPO;25/2/2010;NO;SI;SI;SI;Vencida;8/11/2023;Dario Ortiz;8/11/2023;30688958268;OK;SI;19/02/2010;CABA;;Avenida Cramer 3545
Asociación Civil Tucumana de Apicultura;ACTA;4/5/2017;NO;SI;SI;SI;Vencida;31/12/2018;Victor Avelino Palacios;31/12/2018;30715465880;BAJA DE OFICIO;SI;17/03/2017;Tucumán;Agua Dulce; Ruta provincial - Km 7 320 (CP 4115) AGUA DULCE, Tucumán  
Asociación Civil Unión Industrial del Noroeste Bonaerense;UINB;29/4/2010;NO;NO;NO;NO;Vencida;30/12/2018;Jorge Luis Domínguez;30/12/2018;0;SIN CUIT;SI;27/04/2010;Buenos Aires;Tres Algarrobos; 25 de Mayo 221 (CP 6231) TRES ALGARROBOS, Buenos Aires  
Asociación Comercial e Industrial de Morón;ACIM;3/8/2009;Si;SI;SI;SI;Vigente;1/12/2024;Gabriela Beatríz Langer;1/12/2024;30525315238;OK;;;Buenos Aires;Moron; AVENIDA RIVADAVIA 18236 PB (CP 1708) MORON, Buenos Aires  
Asociación Comerciantes en Materiales para la Construcción;ACOMAC;25/11/1999;Si;NO;NO;NO;Vencida;30/12/2019;Calzetta Osvaldo (Vice);30/12/2019;30526502082;BAJA DE OFICIO;;;CABA;; VIAMONTE 2160 (CP 1056) Ciudad Autónoma de Buenos Aires  
Asociación Comerciantes, Industriales y Productores de Luján;ACIP;11/11/1991;NO;NO;SI;SI;Vencida;31/12/2021;Edith Malaisi;30/9/2023;30541491534;OK;;;Buenos Aires;Lujan; BARTOLOME MITRE 350 (CP 6700) LUJAN, Buenos Aires  
Asociación Cordón del Velasco;ACOVE;29/4/2010;NO;NO;SI;NO;Vencida;31/12/2016;Walter Lucero;31/12/2016;30710905165;BAJA DE OFICIO;;;La Rioja;Aminga; Ruta Nacional Nº 75 Km 86 (CP 5301) AMINGA, La Rioja  
Asociación Correntina de Plantadores de Arroz;ACPA;24/4/2019;NO;SI;SI;SI;Vigente;30/6/2026;Jorge Ruben Borsatto;30/6/2026;30709548219;BAJA DE OFICIO;;;Corrientes;Corrientes; JUNIN 2003 (CP 3400) CORRIENTES, Corrientes  
Asociación de Apicultores de la Provincia de Salta;AAPS;22/7/2010;NO;SI;NO;SI;Vencida;30/3/2017;Diego Omar Berti;30/3/2017;30690689932;BAJA DE OFICIO;;;Salta;Salta; Pasaje Zorrilla 225 (CP 4400) SALTA, Salta   Juan E. Marocco 1897 B. Periodista (CP 4400) SALTA, Salta  
